Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2022-01-03,174.9639889246719,179.93260315691342,174.84592771937227,179.0766143798828,104487900
2022-01-04,179.68658798247785,179.99158936284988,176.23314845059463,176.80380249023438,99310400
2022-01-05,176.71527555574892,177.26624778747964,171.82537447983776,172.10086059570312,94537600
2022-01-06,169.91663581088895,172.47473828919735,168.8737219585049,169.22792053222656,96904000
2022-01-07,170.10353859309075,171.33339239604064,168.27351553378676,169.3951416015625,86709100
2022-01-10,166.3549934911358,169.71987264285875,165.4596560671489,169.4148712158203,106765600
2022-01-11,169.54277308913493,172.35666484220278,168.06694817720108,172.25828552246094,76138300
2022-01-12,173.28152209013933,174.32443598667186,172.00248580970825,172.70103454589844,74805200
2022-01-13,172.9470087303428,173.7734671157762,169.021308880232,169.4148712158203,84505800
2022-01-14,168.57854144538373,170.97921882070173,168.33257064894323,170.28067016601562,80440800
2022-01-18,168.7457861971578,169.7591845958595,166.67964068115353,167.0633544921875,90956700
2022-01-19,167.26014726021518,168.32274293847112,163.2655837924122,163.5509033203125,94815000
2022-01-20,164.2888356247408,166.94531763556114,161.53395927494375,161.858642578125,91420500
2022-01-21,161.7700649271188,163.649285337479,159.68423746347776,159.79246520996094,122848900
2022-01-24,157.44100875159458,159.68426145863555,152.20674242658725,159.0152130126953,162294600
2022-01-25,156.41773971689992,160.13681684031084,154.48933714106155,157.20484924316406,115798400
2022-01-26,160.86489488644725,161.74055028867843,155.276445805436,157.11630249023438,108275300
2022-01-27,159.83183900024744,161.19943618602957,155.72904744290105,156.65390014648438,121954600
2022-01-28,163.03930297240717,167.60452073615352,160.17619905897428,167.5848388671875,179935700
2022-01-31,167.41758353014143,172.17957503076116,166.77805038659238,171.96311950683594,115541600
2022-02-01,171.205516713621,172.0221416021034,169.53291821282656,171.7958526611328,86213900
2022-02-02,171.9336132455733,173.045406221179,170.5365007077257,173.00604248046875,84914300
2022-02-03,171.66792521659727,173.3995691426872,169.3459604171391,170.11338806152344,89418100
2022-02-04,169.12825935026342,171.5123033629512,168.14312266243942,169.8277130126953,82465400
2022-02-07,170.29072729509326,171.36452266980686,168.4091126265265,169.1085662841797,77251200
2022-02-08,169.17753061992778,172.74373589252258,168.88198658721637,172.23146057128906,74829200
2022-02-09,173.43335009555227,174.02442320219117,172.30043366850177,173.65992736816406,71285000
2022-02-10,171.5517329947236,172.8718127855668,169.00023212316947,169.56175231933594,90865900
2022-02-11,169.7686102165677,170.50746274549212,165.5423653332038,166.13345336914062,98670700
2022-02-14,164.88233741200816,167.059496301351,164.08437902845532,166.36990356445312,86185500
2022-02-15,168.428830184281,170.3793967268219,167.7195305266309,170.22177124023438,62527400
2022-02-16,169.2957588343913,170.7636029916525,167.5225096535446,169.9853515625,61177400
2022-02-17,168.4879416203525,169.35486679359227,165.96599387855787,166.36990356445312,69589300
2022-02-18,167.29594937351246,168.0052340857905,163.71989774879913,164.8134002685547,82772700
2022-02-22,162.52784908789482,164.21243946447404,159.73991041394962,161.87767028808594,91162800
2022-02-23,163.07950991292532,163.68044385407134,157.37557548138537,157.69082641601562,90009200
2022-02-24,150.31217357463046,160.42953264062146,149.74079243125084,160.3211669921875,141147500
2022-02-25,161.4048129823314,162.66578690938127,158.4789554243499,162.39981079101562,91974200
2022-02-28,160.63639223271767,162.96131550875083,160.01575128472777,162.665771484375,95056600
2022-03-01,162.2520277075245,164.12379664388249,159.56260845656183,160.77432250976562,83474400
2022-03-02,161.94663607610053,164.87249354079174,160.52803669540245,164.08438110351562,79724800
2022-03-03,165.96598906988046,166.39945164394126,163.08939157074246,163.75927734375,76678400
2022-03-04,162.04513861522074,163.08938109548046,159.690662540977,160.7447509765625,83737200
2022-03-07,160.93193414652472,162.56726469889648,156.67613632811052,156.93228149414062,96418800
2022-03-08,156.4594387052954,160.4590918337938,153.4843212668971,155.09994506835938,131148300
2022-03-09,159.07989329168066,160.9812152164197,157.04066784211605,160.52804565429688,91454900
2022-03-10,157.81891731398164,158.00609571698396,153.66163868475533,156.1638946533203,105342000
2022-03-11,156.5677776744671,156.9125815524345,152.20362905353198,152.43020629882812,96970100
2022-03-14,149.19895189517598,151.82926511007037,147.86902635433808,148.38128662109375,108732100
2022-03-15,148.65714063785396,153.2577428312749,148.14488031272373,152.7848663330078,92964300
2022-03-16,154.71573104732857,157.62188148073074,152.1642304485378,157.2179718017578,102300200
2022-03-17,156.25253141620664,158.60700751026562,155.28710166640653,158.23265075683594,75615400
2022-03-18,158.12429878796183,162.0352929982588,157.3854462046361,161.542724609375,123511700
2022-03-21,161.07968974301923,163.8774892796134,160.58712141339248,162.92190551757812,95811400
2022-03-22,163.0499757920267,166.90186403813098,162.4589027695207,166.310791015625,81532000
2022-03-23,165.49314031396403,170.07402052830085,165.15818236981434,167.68014526367188,98062700
2022-03-24,168.51750138963553,171.55172458765148,167.680144114985,171.48277282714844,90131400
2022-03-25,171.29558139631104,172.6747668214046,170.18237206834664,172.1230926513672,80546200
2022-03-28,169.61099385470519,173.11807830876265,169.4435224096512,172.99002075195312,90371900
2022-03-29,174.0637996496183,176.3493088945433,173.71899580425816,176.30006408691406,100589400
2022-03-30,175.8962132698812,176.94045607831126,174.07370381833985,175.1278076171875,92633200
2022-03-31,175.1967121549276,175.38389053842545,171.8078394044231,172.0147247314453,103049300
2022-04-01,171.44338587312052,172.28075831133071,169.38445321125914,171.71922302246094,78751300
2022-04-04,171.97532178293372,175.8370558621495,171.847249201064,175.7877960205078,76468400
2022-04-05,174.86178989450815,175.6499023764881,171.8275666096823,172.4580535888672,73401800
2022-04-06,169.79818332507708,171.0493112985937,167.60133241989047,169.27606201171875,89058800
2022-04-07,168.61599119854367,170.78328880385303,167.32546460305463,169.5814208984375,77594700
2022-04-08,169.22678840700246,169.22678840700246,166.68513380776986,167.56190490722656,76575500
2022-04-11,166.2024342381658,166.51767019391744,163.04013853231345,163.2864227294922,72246700
2022-04-12,165.5226643220327,167.34515810732003,164.16317093331614,165.1680145263672,79265200
2022-04-13,164.90202314942036,168.49776590709988,164.29124323700162,167.86727905273438,70618900
2022-04-14,168.08403280084593,168.72438072783297,162.586967757821,162.833251953125,75329400
2022-04-18,161.48363023704638,164.12380480496248,161.1388413596214,162.61654663085938,69023900
2022-04-19,162.56726532731986,165.32565114265935,161.47376296963859,164.91188049316406,67723800
2022-04-20,166.25167331536827,166.36989994769078,163.63122097212312,164.74441528320312,67929800
2022-04-21,166.3994683269321,168.98052205416587,163.4440577878417,163.94647216796875,87227800
2022-04-22,163.9858867436895,165.37491827853887,159.09960135126914,159.38528442382812,84882400
2022-04-25,158.72524075058578,160.74477425226587,156.10478821517142,160.45909118652344,96046400
2022-04-26,159.83846020039812,159.927118912707,154.39065440814608,154.46946716308594,95623200
2022-04-27,153.59269545207738,157.4150163467095,153.07057410523336,154.24288940429688,88063200
2022-04-28,156.88304400161465,162.07471943122334,156.56779299297258,161.20779418945312,130216800
2022-04-29,159.43451835036365,163.7297149213484,154.9127445495681,155.30679321289062,131747600
2022-05-02,154.3807770157754,155.87817395874512,150.99190440338296,155.61219787597656,123055300
2022-05-03,155.79938533869836,158.32134827768206,153.99659814843346,157.109619140625,88966500
2022-05-04,157.29678931665225,164.0055684455129,156.89287962543,163.5524139404297,108256500
2022-05-05,161.41464981687918,161.64122704261723,152.64692441162111,154.43988037109375,130525300
2022-05-06,153.91697118359255,157.30096228040412,152.1115205777724,155.16993713378906,116124600
2022-05-09,152.85149635884284,153.73943124959115,149.45765905699372,150.02000427246094,131577900
2022-05-10,153.4335628431723,154.63719664476065,150.87829859313095,152.43710327148438,115366700
2022-05-11,151.44069736728082,153.36453383442003,143.85386132504854,144.53460693359375,142689800
2022-05-12,140.85461970992037,144.23859603195632,136.93787953021916,140.64743041992188,182602000
2022-05-13,142.65018698652435,146.11310670484872,141.1900467789035,145.13638305664062,113990900
2022-05-16,143.59733885589824,145.5409110091413,142.24570821302393,143.58746337890625,86643800
2022-05-17,146.86293191317884,147.76072719277806,144.71217042216534,147.2378387451172,78336300
2022-05-18,144.87990321822826,145.38305576655117,138.02313063348345,138.93080139160156,109742900
2022-05-19,138.00341172092175,139.7595305072189,134.76741653803163,135.50735473632812,136095600
2022-05-20,137.22398633811162,138.8123874278818,130.8309252366742,135.74411010742188,137426100
2022-05-23,135.94142838049157,141.3380450828472,135.80330719659918,141.1900634765625,117726300
2022-05-24,138.9209191087074,140.06536039628463,135.48761030005602,138.47695922851562,104132700
2022-05-25,136.57285408248967,139.8877778515704,136.48406511064104,138.63482666015625,92482700
2022-05-26,135.5467872401753,142.40354364055585,135.30014121818982,141.85105895996094,90601500
2022-05-27,143.43947862792666,147.67191829271428,143.31121786248204,147.63246154785156,90978500
2022-05-31,147.0700953422885,148.6387604091579,144.8700020152632,146.84317016601562,103718400
2022-06-01,147.8889577936666,149.7042840674564,145.6987397803345,146.71493530273438,74286600
2022-06-02,145.84676706343666,149.24061965462317,144.8897790343841,149.18142700195312,72348100
2022-06-03,144.92920830294685,145.98486058899564,142.52195557770006,143.4296112060547,88570300
2022-06-06,145.0574721682304,146.57682025024437,142.95604302742927,144.17941284179688,71598400
2022-06-07,142.41342781441574,147.00103808191767,142.16678177736554,146.71493530273438,67808200
2022-06-08,146.5866528499827,147.85933958899736,145.48168358484887,145.9749755859375,53950200
2022-06-09,145.10681595338983,145.96513944929978,140.61785452288095,140.72637939453125,69473000
2022-06-10,138.398032723083,138.87158893198634,135.22123034078209,135.29029846191406,91437900
